1:703,17:714
2:785,15:232
3:296,7:830
4:649,5:831
6:924
6:327,7:288

8:342,9:351

10:525,11:314

12:241,18:754,19:241
13:237,16:396
14:81,15:241

16:372
17:529
18:226
19:753
20:232
21:319,22:436

